stop_id,shading,heat_vulnerability_index,heat_vulnerability_label,tree_canopy_pct,lst_median,shade_coverage,shade_sources
1306,Unknown,6.764162,Moderate Vulnerability,0.305426,98.000000,Unknown,None
1307,Unknown,6.764162,Moderate Vulnerability,0.305426,98.000000,Unknown,None
1310,Unknown,6.764162,Moderate Vulnerability,0.305426,98.000000,Unknown,None
1314,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1316,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1317,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1360,Manmade Shade,7.011290,Moderate Vulnerability,0.170934,103.000000,Limited,Manmade
1370,No Shade,7.011290,Moderate Vulnerability,0.170934,103.000000,No Shade,None
1412,Unknown,3.817485,Least Vulnerable,0.440022,95.000000,Unknown,None
1414,Unknown,3.229042,Least Vulnerable,0.523692,92.000000,Unknown,None
1417,Unknown,7.842944,Elevated Vulnerability,0.407202,98.000000,Unknown,None
1419,Unknown,7.842944,Elevated Vulnerability,0.407202,98.000000,Unknown,None
1421,Unknown,6.249971,Moderate Vulnerability,0.452287,97.000000,Unknown,None
1422,Unknown,5.071506,Low Vulnerability,0.498364,96.000000,Unknown,None
1423,Unknown,5.071506,Low Vulnerability,0.498364,96.000000,Unknown,None
1424,Unknown,5.071506,Low Vulnerability,0.498364,96.000000,Unknown,None
1425,Unknown,5.071506,Low Vulnerability,0.498364,96.000000,Unknown,None
1426,Unknown,5.071506,Low Vulnerability,0.498364,96.000000,Unknown,None
1427,Unknown,5.071506,Low Vulnerability,0.498364,96.000000,Unknown,None
1429,Unknown,5.591428,Low Vulnerability,0.406369,99.000000,Unknown,None
1430,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1431,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1433,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1435,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1437,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1438,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1439,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1440,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1441,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1442,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1447,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
